City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
La Sarre,5,CA,1599100765,74,48.8,-79.2,53.98,9.37
Bainbridge Island,0,US,1599100544,77,47.63,-122.52,70.0,6.8
Kalmunai,48,LK,1599100285,70,7.42,81.82,83.52,2.55
Khāsh,0,IR,1599100765,23,28.22,61.22,69.31,8.86
Alvarães,80,BR,1599100765,77,-3.22,-64.8,77.02,2.84
Kota Kinabalu,20,MY,1599100365,79,5.97,116.07,86.0,3.36
Saint-Paul,0,RE,1599100766,82,-21.01,55.27,64.4,6.93
Marawi,100,PH,1599100308,75,8.0,124.29,84.0,5.01
Moree,0,AU,1599100386,33,-29.47,149.85,77.0,14.99
Berbera,6,SO,1599100766,45,10.44,45.01,89.98,15.95
Ventersburg,15,ZA,1599100766,92,-28.09,27.14,47.01,9.4
Ciudad Real,0,ES,1599100766,30,39.0,-4.0,66.99,1.01
Kurchum,13,KZ,1599100767,24,48.57,83.65,76.33,6.98
Krutaya Gorka,75,RU,1599100767,76,55.36,73.22,55.4,17.9
Dzilam González,76,MX,1599100767,88,21.28,-88.93,79.18,6.98
Lamu,25,KE,1599100767,78,-2.27,40.9,74.64,12.06
Yulara,0,AU,1599100348,16,-25.24,130.99,75.2,6.93
Canarana,1,BR,1599100767,84,-11.68,-41.77,60.73,8.88
Praia,75,CV,1599100092,83,14.92,-23.51,78.8,16.11
Aasiaat,85,GL,1599100386,98,68.71,-52.87,30.81,4.34
Vila Velha,40,BR,1599100075,94,-20.33,-40.29,68.0,1.39
Pozo Colorado,15,PY,1599100768,64,-23.49,-58.8,60.82,5.99
Jizan,40,SA,1599100768,62,17.33,42.67,87.8,6.53
Three Hills,32,CA,1599100768,42,51.7,-113.27,51.01,3.13
Bathsheba,75,BB,1599100671,78,13.22,-59.52,80.6,12.75
Haines Junction,100,CA,1599100338,67,60.75,-137.51,49.71,5.84
Viedma,33,AR,1599100365,67,-40.81,-63.0,45.28,14.14
Santa Maria,75,BR,1599100673,87,-29.68,-53.81,60.8,5.82
Al Bardīyah,0,LY,1599100769,86,31.76,25.09,75.31,9.08
Staroutkinsk,0,RU,1599100769,83,57.23,59.33,44.04,8.66
Salamina,0,GR,1599100769,60,37.96,23.5,80.01,4.23
Aklavik,75,CA,1599100354,93,68.22,-135.01,50.0,2.89
Iskateley,98,RU,1599100770,86,67.68,53.15,43.63,8.9
Ayagoz,7,KZ,1599100770,21,47.97,80.44,78.76,9.78
Warri,84,NG,1599100770,93,5.52,5.75,74.43,3.13
San Jose,40,US,1599100637,64,37.34,-121.89,69.01,12.75
Cap Malheureux,70,MU,1599100770,90,-19.98,57.61,68.0,3.0
Bara,100,NG,1599100771,92,10.37,10.73,72.55,8.43
Kendari,86,ID,1599100771,77,-3.94,122.5,84.27,3.42
Sistranda,3,NO,1599100771,67,63.73,8.83,59.0,13.87
Kawalu,67,ID,1599100648,61,-7.38,108.21,83.44,4.56
Tambura,100,SS,1599100771,91,5.6,27.47,68.2,3.0
Camacha,40,PT,1599100632,73,33.08,-16.33,71.6,6.93
Ulagan,0,RU,1599100772,37,50.63,87.96,66.38,1.61
Raja,100,SS,1599100685,97,8.46,25.68,67.89,4.34
Dongsheng,62,CN,1599100318,33,39.82,109.98,63.97,6.69
Mount Gambier,75,AU,1599100259,58,-37.83,140.77,59.0,24.16
Bilma,5,NE,1599100772,40,18.69,12.92,88.68,4.43
Nelson Bay,0,AU,1599100310,34,-32.72,152.15,84.0,13.87
Narrabri,0,AU,1599100772,36,-30.32,149.78,77.0,19.46
Mashhad,0,IR,1599100773,47,36.3,59.61,59.0,3.78
Hildburghausen,1,DE,1599100773,88,50.43,10.73,46.0,1.54
Sidi Ali,0,DZ,1599100773,81,36.1,0.42,64.76,7.58
Shubarshi,0,KZ,1599100313,65,48.59,57.19,68.74,14.23
Meybod,0,IR,1599100774,25,32.25,54.02,62.6,2.24
Chemal,0,RU,1599100774,52,51.41,86.0,69.3,6.24
San Andrés,40,CO,1599100774,88,12.58,-81.7,80.6,2.24
Khanpur,4,PK,1599100774,54,28.65,70.66,89.98,5.93
Pokaran,39,IN,1599100774,59,26.92,71.92,85.77,9.1
Ban Nahin,49,LA,1599100774,49,18.24,104.21,93.43,1.43
Husavik,90,IS,1599100304,87,66.04,-17.34,42.8,11.41
Labuhan,89,ID,1599100775,60,-6.88,112.21,86.4,3.98
Puerto Madero,90,MX,1599100775,100,14.72,-92.42,80.6,5.82
Cervo,0,ES,1599100775,1,43.67,-7.41,57.99,4.85
Rozkishne,0,UA,1599100670,36,48.5,37.59,68.0,11.68
Kudat,20,MY,1599100775,74,6.88,116.85,86.0,4.7
Sayansk,73,RU,1599100776,90,54.11,102.16,54.75,4.65
Pendleton,1,US,1599100776,19,45.67,-118.79,89.6,6.93
Ubari,0,LY,1599100776,16,26.59,12.78,81.57,7.72
Tezu,73,IN,1599100776,65,27.92,96.17,84.65,1.72
Takoradze,98,GH,1599100269,90,4.88,-1.76,75.09,9.51
Camopi,8,GF,1599100777,97,3.17,-52.32,72.41,2.93
Kongolo,5,CD,1599100777,60,-5.38,27.0,72.45,1.92
Namikupa,96,TZ,1599100777,96,-10.83,39.6,64.94,3.42
Esim,100,GH,1599100359,89,4.87,-2.24,75.31,8.97
Baraúna,77,BR,1599100777,72,-5.08,-37.62,73.02,9.73
Lys'va,15,RU,1599100777,87,58.11,57.81,43.2,8.7
Usoke,0,TZ,1599100778,51,-5.17,32.35,64.04,9.24
Liverpool,100,GB,1599100778,66,53.41,-2.98,64.0,1.01
Ulaanbaatar,75,MN,1599100328,55,47.91,106.88,60.8,2.24
Santa Isabel,40,BR,1599100351,88,-23.32,-46.22,66.2,3.36
Storsteinnes,99,NO,1599100778,100,69.24,19.23,48.2,14.99
Plettenberg Bay,0,ZA,1599100324,57,-34.05,23.37,58.51,7.23
Aykhal,75,RU,1599100779,76,66.0,111.5,57.2,6.71
Puerto Baquerizo Moreno,27,EC,1599100779,85,-0.9,-89.6,65.5,12.59
Sokna,0,NO,1599100779,81,60.24,9.92,48.99,3.0
Vardø,98,NO,1599100281,82,70.37,31.11,51.35,20.18
Kulhudhuffushi,100,MV,1599100779,83,6.62,73.07,80.91,19.44
Manokwari,100,ID,1599100779,61,-0.87,134.08,85.84,8.57
Skjervøy,93,NO,1599100070,67,70.03,20.97,54.9,7.83
Flinders,15,AU,1599100346,37,-34.58,150.86,82.99,13.0
Collie,80,AU,1599100780,74,-33.37,116.15,57.99,7.0
Yaguajay,72,CU,1599100780,83,22.33,-79.24,81.5,13.13
Tahe,100,CN,1599100780,73,52.33,124.73,61.3,4.7
Buala,33,SB,1599100107,74,-8.14,159.59,84.94,10.07
Oranjemund,0,NA,1599100690,59,-28.55,16.43,52.36,7.05
Tayoltita,100,MX,1599100781,80,24.08,-105.93,72.09,0.98
Lydenburg,0,ZA,1599100781,100,-25.1,30.46,51.01,0.31
Wāliṅ,47,NP,1599100781,79,27.98,83.77,78.57,2.17
Kāzerūn,0,IR,1599100781,17,29.62,51.65,80.29,5.97
Sambava,50,MG,1599100628,82,-14.27,50.17,65.7,8.21
Los Llanos de Aridane,1,ES,1599100612,83,28.66,-17.92,69.8,8.05
Camrose,33,CA,1599100781,65,53.02,-112.84,54.0,5.01
Kutum,100,SD,1599100782,74,14.2,24.67,70.41,6.69
Malé,75,MV,1599100782,88,4.17,73.51,80.6,11.41
Sabzawār,0,IR,1599100782,24,36.21,57.68,69.19,5.7
Pangoa,88,PE,1599100782,87,-12.12,-73.0,67.15,3.11
Shkurinskaya,0,RU,1599100782,40,46.59,39.36,71.56,11.52
Berlevåg,100,NO,1599100347,79,70.86,29.09,51.64,14.85
Tsimmerbude,75,RU,1599100374,87,54.67,20.13,59.0,6.71
Valparaíso,73,CL,1599100783,87,-33.04,-71.63,44.6,3.36
Dwārka,100,IN,1599100292,77,22.24,68.97,81.3,7.09
Anloga,40,GH,1599100642,88,5.79,0.9,77.0,11.41
Maceió,20,BR,1599100289,100,-9.67,-35.74,66.2,3.36
Fortuna,20,US,1599100254,87,40.6,-124.16,62.01,9.17
Assomada,75,CV,1599100783,83,15.1,-23.68,78.8,16.11
Inta,76,RU,1599100784,82,66.03,60.17,43.65,17.6
Inhambane,17,MZ,1599100272,74,-23.86,35.38,62.37,8.28
Challapata,12,BO,1599100784,52,-18.9,-66.77,36.18,1.19
Selfoss,100,IS,1599100784,87,63.93,-21.0,46.0,14.0
Samfya,9,ZM,1599100784,70,-11.36,29.56,60.37,11.14
Abu Dhabi,0,AE,1599100548,55,24.47,54.37,86.0,5.82
Fairbanks,1,US,1599100350,58,64.84,-147.72,57.2,2.66
Hamburg,0,DE,1599100739,100,53.55,10.0,50.0,4.41
Mariehamn,90,AX,1599100785,87,60.1,19.93,59.0,5.82
Burleson,1,US,1599100503,88,32.54,-97.32,75.0,6.93
Amagi,75,JP,1599100785,74,33.42,130.65,86.0,12.75
Grindavik,75,IS,1599100066,81,63.84,-22.43,46.4,26.4
Novikovo,0,RU,1599100691,74,51.15,37.89,63.28,12.39
Korla,37,CN,1599100746,16,41.76,86.15,85.42,6.76
Tarko-Sale,99,RU,1599100786,78,64.92,77.78,46.0,12.77
Houston,75,US,1599100543,74,29.76,-95.36,86.0,14.99
Guantánamo,40,CU,1599100786,78,20.14,-75.21,82.4,5.82
